model_name,train_size_perc,accuracy,f1_score,training_time_s,training_peak_ram_mb,inference_latency_ms,inference_ram_mb
Modelo Pequeno,9.923664122137405,0.5227272727272727,0.4338474025974026,3.2200303077697754,19.95703125,1.1952302672646262,19.95703125
Modelo Pequeno,19.84732824427481,0.5454545454545454,0.5265151515151515,6.069836616516113,12.31640625,1.2680075385353782,12.31640625
Modelo Pequeno,49.61832061068702,0.7727272727272727,0.7719611436950147,14.908296585083008,12.078125,1.3564608313820579,12.078125
Modelo Pequeno,89.31297709923665,0.7954545454545454,0.7962662337662337,26.54714560508728,12.52734375,1.1783838272094727,12.52734375
Modelo Pequeno,100.0,0.7727272727272727,0.7704399766899767,29.530604124069214,12.02734375,1.1627836660905317,12.02734375
Modelo Médio,9.923664122137405,0.5454545454545454,0.45415019762845854,3.015043258666992,12.06640625,1.2665174224159934,12.06640625
Modelo Médio,19.84732824427481,0.5909090909090909,0.5315900315900316,5.915066242218018,12.87890625,1.3226649977944114,12.87890625
Modelo Médio,49.61832061068702,0.7727272727272727,0.779251477110209,14.769788980484009,14.39453125,1.2320551005276765,14.37890625
Modelo Médio,89.31297709923665,0.7727272727272727,0.7711196700203616,26.566166639328003,12.39453125,1.1745366183194246,12.39453125
Modelo Médio,100.0,0.8863636363636364,0.8861350574712644,30.40508508682251,13.0546875,2.00088999488137,13.0546875
Modelo Grande,9.923664122137405,0.5,0.4310850439882698,2.9709041118621826,12.16796875,1.2081265449523926,12.16796875
Modelo Grande,19.84732824427481,0.5,0.48969406274306465,5.966890335083008,12.015625,1.2869834899902344,12.015625
Modelo Grande,49.61832061068702,0.75,0.732039292445991,14.908440351486206,12.015625,1.2764930725097656,12.015625
Modelo Grande,89.31297709923665,0.8636363636363636,0.8641873278236915,26.756531715393066,12.50390625,1.2677095153115012,12.50390625
Modelo Grande,100.0,0.8863636363636364,0.8861350574712644,30.07934594154358,12.6953125,1.2020035223527388,12.6953125
